# Time Mag MagErr
3041.119845 -0.071017 0.000809
3041.122160 -0.067007 0.000811
3041.124475 -0.063770 0.000812
3041.126790 -0.063736 0.000813
3041.129104 -0.057976 0.000815
3041.131419 -0.055527 0.000816
3041.133734 -0.052365 0.000817
3041.136049 -0.049060 0.000819
3041.138363 -0.044622 0.000822
3041.140678 -0.039942 0.000823
3041.142993 -0.037131 0.000825
3041.145308 -0.033388 0.000826
3041.147623 -0.029815 0.000828
3041.149937 -0.025953 0.000830
3041.152252 -0.019080 0.000832
3041.154567 -0.015829 0.000834
3041.156882 -0.013447 0.000835
3041.159197 -0.007672 0.000838
3041.161511 -0.004727 0.000839
3041.163826 -0.000600 0.000841
3041.166141 0.005060 0.000844
3041.168456 0.009830 0.000846
3041.170771 0.013372 0.000848
3041.173085 0.017575 0.000850
3041.175400 0.023451 0.000853
3041.177715 0.026465 0.000854
3041.180030 0.029959 0.000856
3041.182344 0.034259 0.000857
3041.184659 0.038888 0.000860
3041.186974 0.041581 0.000861
3041.189289 0.045599 0.000863
3041.191604 0.050048 0.000865
3041.193918 0.052216 0.000866
3041.196233 0.057002 0.000869
3041.198548 0.060846 0.000871
3041.200863 0.063695 0.000872
3041.203178 0.066666 0.000873
3041.205492 0.070221 0.000875
3041.207807 0.072722 0.000877
3041.210122 0.075149 0.000878
3041.212437 0.078235 0.000879
3041.214751 0.079446 0.000880
3041.217066 0.084844 0.000883
3041.219381 0.087756 0.000884
3041.221696 0.086921 0.000884
3041.224011 0.089876 0.000885
3041.226325 0.093883 0.000887
3041.228640 0.094524 0.000887
3041.230955 0.097431 0.000889
3041.233270 0.098147 0.000889
3041.235585 0.098195 0.000889
3041.237899 0.097215 0.000889
3041.240214 0.098001 0.000889
3041.242529 0.096854 0.000889
3041.244844 0.097558 0.000889
3041.247158 0.096093 0.000888
3041.249473 0.094204 0.000887
3041.251788 0.092628 0.000886
3041.254103 0.089695 0.000885
3041.256418 0.086802 0.000883
3041.258732 0.081505 0.000881
3041.261047 0.076723 0.000878
3041.263362 0.070841 0.000875
3041.265677 0.065962 0.000873
3041.267992 0.061383 0.000871
3041.270306 0.053750 0.000867
3041.272621 0.046557 0.000864
3041.274936 0.039750 0.000860
3041.277251 0.030288 0.000855
3041.279566 0.024236 0.000853
3041.281880 0.016321 0.000849
3041.284195 0.009250 0.000846
3041.286510 0.000950 0.000842
3041.288825 -0.005928 0.000839
3041.291139 -0.013249 0.000835
3041.293454 -0.019104 0.000832
3041.295769 -0.026040 0.000829
3041.298084 -0.030085 0.000827
3041.300399 -0.038515 0.000823
3041.302713 -0.042299 0.000822
3041.305028 -0.046358 0.000820
3041.307343 -0.052383 0.000817
3041.309658 -0.056466 0.000815
3041.311973 -0.059802 0.000814
3041.314287 -0.065935 0.000811
3041.316602 -0.069000 0.000810
3041.318917 -0.073670 0.000808
3041.321232 -0.076574 0.000806
3041.323546 -0.083052 0.000803
3041.325861 -0.086007 0.000802
3041.328176 -0.088689 0.000801
3041.330491 -0.092679 0.000799
3041.332806 -0.093536 0.000799
3041.335120 -0.096405 0.000797
3041.337435 -0.098264 0.000797
3041.339750 -0.099230 0.000796
3041.342065 -0.100188 0.000796
3041.344380 -0.100261 0.000795
3041.346694 -0.099403 0.000796
3041.349009 -0.101135 0.000795
3041.351324 -0.100426 0.000796
3041.353639 -0.098753 0.000796
3041.355954 -0.097427 0.000797
3041.358268 -0.098456 0.000797
3041.360583 -0.095438 0.000797
3041.362898 -0.093242 0.000799
3041.365213 -0.091990 0.000799
3041.367527 -0.089583 0.000800
3041.369842 -0.086761 0.000802
3041.372157 -0.083337 0.000803
3041.374472 -0.079195 0.000805
3041.376787 -0.075958 0.000807
3041.379101 -0.072314 0.000808
3041.381416 -0.068243 0.000810
3041.383731 -0.064149 0.000811
3041.386046 -0.058906 0.000814
3041.388361 -0.052623 0.000817
3041.390675 -0.048525 0.000819
3041.392990 -0.044533 0.000820
3041.395305 -0.040350 0.000822
3041.397620 -0.032033 0.000826
3041.399934 -0.029301 0.000827
3041.402249 -0.022989 0.000830
3041.404564 -0.019225 0.000832
3041.406879 -0.013309 0.000835
3041.409194 -0.007721 0.000837
3041.411508 -0.003067 0.000839
3041.413823 0.002115 0.000842
3041.416138 0.007254 0.000844
3041.418453 0.011213 0.000846
3041.420768 0.016689 0.000849
3041.423082 0.021275 0.000851
3041.425397 0.024607 0.000852
3041.427712 0.031041 0.000856
3041.430027 0.034848 0.000858
3041.432342 0.039042 0.000860
3041.434656 0.042646 0.000861
3041.436971 0.046550 0.000863
3041.439286 0.050639 0.000865
3041.441601 0.055076 0.000867
3041.443915 0.057514 0.000868
3041.446230 0.061739 0.000871
3041.448545 0.064793 0.000872
3041.450860 0.068344 0.000874
3041.453175 0.071856 0.000876
3041.455489 0.073451 0.000876
3041.457804 0.075451 0.000877
3041.460119 0.078600 0.000879
3041.462434 0.081055 0.000880
3041.464749 0.083485 0.000882
3041.467063 0.086830 0.000883
3041.469378 0.088423 0.000884
3041.471693 0.090063 0.000884
3041.474008 0.090834 0.000885
3041.476323 0.092029 0.000886
3041.478637 0.093000 0.000886
3041.480952 0.093493 0.000886
3041.483267 0.094806 0.000887
3041.485582 0.095427 0.000887
3041.487896 0.094822 0.000887
3041.490211 0.094658 0.000887
3041.492526 0.096390 0.000888
3041.494841 0.096377 0.000888
3041.497156 0.093187 0.000886
3041.499470 0.092191 0.000885
3041.501785 0.091175 0.000885
3041.504100 0.089823 0.000884
3041.506415 0.085624 0.000882
3041.508730 0.082635 0.000881
3041.511044 0.078124 0.000878
3041.513359 0.074864 0.000877
3041.515674 0.071711 0.000875
3041.517989 0.066492 0.000874
3041.520303 0.062502 0.000871
3041.522618 0.054424 0.000867
3041.524933 0.046390 0.000863
3041.527248 0.040328 0.000860
3041.529563 0.033323 0.000856
3041.531877 0.026317 0.000853
3041.534192 0.019918 0.000850
3041.536507 0.014269 0.000847
3041.538822 0.007187 0.000844
3041.541137 0.002286 0.000842
3041.543451 -0.002829 0.000839
3041.545766 -0.007506 0.000838
3041.548081 -0.013202 0.000835
3041.550396 -0.016368 0.000833
3041.552711 -0.021215 0.000831
3041.555025 -0.025752 0.000829
3041.557340 -0.031417 0.000826
3041.559655 -0.036321 0.000824
3041.561970 -0.038459 0.000823
3041.564284 -0.044633 0.000820
3041.566599 -0.048031 0.000819
3041.568914 -0.053949 0.000816
3041.571229 -0.056351 0.000815
3041.573544 -0.058733 0.000814
3041.575858 -0.061943 0.000812
3041.578173 -0.065694 0.000810
3041.580488 -0.071056 0.000808
3041.582803 -0.070991 0.000808
3041.585118 -0.075357 0.000806
3041.587432 -0.077855 0.000805
3041.589747 -0.080922 0.000804
3041.592062 -0.082673 0.000803
3041.594377 -0.084123 0.000802
3041.596692 -0.085752 0.000802
3041.599006 -0.089066 0.000800
3041.601321 -0.091788 0.000799
3041.603636 -0.092817 0.000798
3041.605951 -0.094897 0.000797
3041.608265 -0.094454 0.000798
3041.610580 -0.096784 0.000797
3041.612895 -0.096598 0.000797
3041.615210 -0.096346 0.000797
3041.617525 -0.096709 0.000797
3041.619839 -0.094343 0.000798
3041.622154 -0.093723 0.000798
3041.624469 -0.091731 0.000799
3041.626784 -0.092117 0.000799
3041.629099 -0.089543 0.000800
3041.631413 -0.088421 0.000800
3041.633728 -0.084799 0.000802
3041.636043 -0.079743 0.000804
3041.638358 -0.075815 0.000806
3041.640673 -0.072845 0.000807
3041.642987 -0.068478 0.000809
3041.645302 -0.063711 0.000811
3041.647617 -0.058540 0.000814
3041.649932 -0.054612 0.000816
3041.652246 -0.047569 0.000819
3041.654561 -0.043450 0.000820
3041.656876 -0.036489 0.000823
3041.659191 -0.030742 0.000826
3041.661506 -0.026261 0.000828
3041.663820 -0.020081 0.000831
3041.666135 -0.015047 0.000834
3041.668450 -0.008606 0.000837
3041.670765 -0.004911 0.000838
3041.673080 -0.001548 0.000840
3041.675394 0.002664 0.000842
3041.677709 0.009910 0.000845
3041.680024 0.013559 0.000847
3041.682339 0.018211 0.000849
3041.684654 0.023143 0.000851
3041.686968 0.025064 0.000852
3041.689283 0.030863 0.000855
3041.691598 0.035611 0.000857
3041.693913 0.039702 0.000860
3041.696227 0.042218 0.000860
3041.698542 0.048496 0.000864
3041.700857 0.051524 0.000865
3041.703172 0.056704 0.000868
3041.705487 0.059620 0.000869
3041.707801 0.065470 0.000872
3041.710116 0.069642 0.000874
3041.712431 0.072313 0.000875
3041.714746 0.075808 0.000877
3041.717061 0.078874 0.000878
3041.719375 0.082465 0.000880
3041.721690 0.086322 0.000882
3041.724005 0.089810 0.000884
3041.726320 0.091731 0.000885
3041.728635 0.094235 0.000886
3041.730949 0.095318 0.000887
3041.733264 0.098810 0.000888
3041.735579 0.098340 0.000888
3041.737894 0.101582 0.000890
3041.740208 0.102428 0.000890
3041.742523 0.103543 0.000890
3041.744838 0.105090 0.000891
3041.747153 0.105332 0.000892
3041.749468 0.104613 0.000891
3041.751782 0.104965 0.000891
3041.754097 0.104599 0.000891
3041.756412 0.102986 0.000890
3041.758727 0.102134 0.000890
3041.761042 0.098674 0.000888
3041.763356 0.095786 0.000887
3041.765671 0.092868 0.000885
3041.767986 0.087688 0.000883
3041.770301 0.082409 0.000880
3041.772616 0.078864 0.000879
3041.774930 0.072840 0.000875
3041.777245 0.064686 0.000871
3041.779560 0.058169 0.000868
3041.781875 0.050888 0.000865
3041.784189 0.042340 0.000861
3041.786504 0.036979 0.000858
3041.788819 0.027277 0.000853
3041.791134 0.019272 0.000849
3041.793449 0.012053 0.000846
3041.795763 0.005309 0.000843
3041.798078 -0.002621 0.000839
3041.800393 -0.010586 0.000836
3041.802708 -0.015777 0.000833
3041.805023 -0.022863 0.000830
3041.807337 -0.030032 0.000826
3041.809652 -0.035089 0.000824
3041.811967 -0.040893 0.000822
3041.814282 -0.047039 0.000819
3041.816597 -0.049943 0.000817
3041.818911 -0.055752 0.000814
3041.821226 -0.061306 0.000812
3041.823541 -0.063817 0.000812
3041.825856 -0.069127 0.000809
3041.828170 -0.070073 0.000808
3041.830485 -0.073535 0.000807
3041.832800 -0.075972 0.000806
3041.835115 -0.078537 0.000805
3041.837430 -0.079774 0.000804
3041.839744 -0.082202 0.000803
3041.842059 -0.081250 0.000804
3041.844374 -0.084042 0.000802
3041.846689 -0.086404 0.000801
3041.849004 -0.086328 0.000801
3041.851318 -0.087092 0.000801
3041.853633 -0.086639 0.000801
3041.855948 -0.086839 0.000801
3041.858263 -0.086746 0.000801
3041.860578 -0.087803 0.000800
3041.862892 -0.087135 0.000801
3041.865207 -0.086635 0.000801
3041.867522 -0.084125 0.000802
3041.869837 -0.084001 0.000802
3041.872151 -0.083874 0.000802
3041.874466 -0.079076 0.000804
3041.876781 -0.078198 0.000805
3041.879096 -0.076438 0.000805
3041.881411 -0.074203 0.000806
3041.883725 -0.069801 0.000808
3041.886040 -0.066994 0.000810
3041.888355 -0.065167 0.000810
3041.890670 -0.061384 0.000812
3041.892985 -0.058346 0.000814
3041.895299 -0.055817 0.000814
3041.897614 -0.052357 0.000816
3041.899929 -0.049867 0.000817
3041.904559 -0.039589 0.000822
3041.906873 -0.034111 0.000824
3041.909188 -0.030194 0.000827
3041.911503 -0.028157 0.000828
3041.913818 -0.022461 0.000830
3041.916132 -0.019376 0.000831
3041.918447 -0.014282 0.000834
3041.920762 -0.008209 0.000837
3041.923077 -0.005891 0.000837
3041.925392 -0.001885 0.000839
3041.927706 0.000245 0.000840
3041.930021 0.006146 0.000843
3041.932336 0.011087 0.000845
3041.934651 0.013135 0.000846
3041.936966 0.016435 0.000848
3041.939280 0.021200 0.000850
3041.941595 0.025583 0.000852
3041.943910 0.028108 0.000854
3041.946225 0.032582 0.000855
3041.948540 0.036559 0.000857
3041.950854 0.040260 0.000860
3041.953169 0.041600 0.000860
3041.955484 0.047421 0.000863
3041.957799 0.050737 0.000864
3041.960113 0.053698 0.000866
3041.962428 0.056757 0.000867
3041.964743 0.062022 0.000870
3041.967058 0.064070 0.000871
3041.969373 0.067735 0.000872
3041.971687 0.069380 0.000873
3041.974002 0.072722 0.000875
3041.976317 0.074597 0.000876
3041.978632 0.076684 0.000877
3041.980947 0.077720 0.000877
3041.983261 0.081481 0.000879
3041.985576 0.082742 0.000880
3041.987891 0.085538 0.000881
3041.990206 0.087693 0.000883
3041.992521 0.089344 0.000883
3041.994835 0.090147 0.000884
3041.997150 0.093114 0.000885
3041.999465 0.093139 0.000885
3042.001780 0.094238 0.000886
3042.004094 0.093904 0.000886
3042.006409 0.093529 0.000886
3042.008724 0.093191 0.000885
3042.011039 0.094150 0.000886
3042.013354 0.092140 0.000885
3042.015668 0.090795 0.000884
3042.017983 0.088126 0.000883
3042.020298 0.084841 0.000881
3042.022613 0.083252 0.000880
3042.024928 0.078240 0.000878
3042.027242 0.072928 0.000875
3042.029557 0.069964 0.000874
3042.031872 0.063246 0.000871
3042.034187 0.060003 0.000869
3042.036502 0.054705 0.000866
3042.038816 0.049086 0.000864
3042.041131 0.041126 0.000860
3042.043446 0.035348 0.000857
3042.045761 0.027968 0.000853
3042.048075 0.020873 0.000850
3042.050390 0.015624 0.000848
3042.052705 0.007003 0.000843
3042.055020 0.000416 0.000840
3042.057335 -0.005399 0.000838
3042.059649 -0.009985 0.000835
3042.061964 -0.015204 0.000833
3042.064279 -0.018463 0.000832
3042.066594 -0.023272 0.000829
3042.068909 -0.025576 0.000828
3042.071223 -0.030355 0.000826
3042.073538 -0.033296 0.000825
3042.075853 -0.038425 0.000822
3042.078168 -0.044145 0.000820
3042.080483 -0.048406 0.000818
3042.082797 -0.052023 0.000816
3042.085112 -0.058444 0.000814
3042.087427 -0.062891 0.000811
3042.089742 -0.068781 0.000809
3042.092056 -0.069481 0.000809
3042.094371 -0.075317 0.000806
3042.096686 -0.079035 0.000804
3042.099001 -0.083600 0.000802
3042.101316 -0.087516 0.000800
3042.103630 -0.090433 0.000799
3042.105945 -0.091571 0.000799
3042.108260 -0.093816 0.000798
3042.110575 -0.097774 0.000796
3042.112890 -0.097656 0.000796
3042.115204 -0.097634 0.000796
3042.117519 -0.097518 0.000796
3042.119834 -0.100083 0.000795
3042.122149 -0.099582 0.000795
3042.124464 -0.098988 0.000796
3042.126778 -0.096583 0.000797
3042.129093 -0.095355 0.000797
3042.131408 -0.093884 0.000798
3042.133723 -0.090458 0.000799
3042.136038 -0.087721 0.000800
3042.138352 -0.083323 0.000802
3042.140667 -0.078970 0.000804
3042.142982 -0.076597 0.000805
3042.145297 -0.072178 0.000807
3042.147611 -0.067326 0.000809
3042.149926 -0.062205 0.000812
3042.152241 -0.058513 0.000813
3042.154556 -0.053624 0.000816
3042.156871 -0.048714 0.000818
3042.159185 -0.042650 0.000820
3042.161500 -0.035408 0.000824
3042.163815 -0.031561 0.000825
3042.166130 -0.027060 0.000828
3042.168445 -0.020854 0.000830
3042.170759 -0.015022 0.000833
3042.173074 -0.010305 0.000836
3042.175389 -0.005052 0.000838
3042.177704 0.000285 0.000840
3042.180019 0.005665 0.000843
3042.182333 0.009474 0.000845
3042.184648 0.016290 0.000848
3042.186963 0.019852 0.000850
3042.189278 0.024872 0.000852
3042.191592 0.030186 0.000855
3042.193907 0.031952 0.000855
3042.196222 0.037111 0.000858
3042.198537 0.039768 0.000859
3042.200852 0.045511 0.000862
3042.203166 0.048842 0.000863
3042.205481 0.053725 0.000866
3042.207796 0.057348 0.000867
3042.210111 0.061306 0.000869
3042.212426 0.064151 0.000871
3042.214740 0.068885 0.000873
3042.217055 0.071520 0.000874
3042.219370 0.073398 0.000875
3042.221685 0.077351 0.000878
3042.224000 0.080394 0.000878
3042.226314 0.082718 0.000880
3042.228629 0.085891 0.000882
3042.230944 0.090266 0.000884
3042.233259 0.091401 0.000884
3042.235573 0.094480 0.000886
3042.237888 0.096640 0.000887
3042.240203 0.098293 0.000887
3042.242518 0.099716 0.000888
3042.244833 0.099164 0.000888
3042.247147 0.101853 0.000889
3042.249462 0.101260 0.000889
3042.251777 0.102366 0.000890
3042.254092 0.101265 0.000889
3042.256407 0.101736 0.000890
3042.258721 0.101028 0.000889
3042.261036 0.098717 0.000888
3042.263351 0.096415 0.000887
3042.265666 0.093652 0.000885
3042.267981 0.093297 0.000885
3042.270295 0.089118 0.000883
