# Time Mag MagErr
3533.400457 0.110608 0.000578
3533.402771 0.103000 0.000576
3533.405086 0.092643 0.000572
3533.407401 0.082203 0.000569
3533.409716 0.069314 0.000565
3533.412031 0.055517 0.000561
3533.414346 0.040521 0.000557
3533.416661 0.023377 0.000551
3533.418976 0.005892 0.000546
3533.421291 -0.012825 0.000541
3533.423606 -0.032370 0.000535
3533.425920 -0.052639 0.000530
3533.428235 -0.072189 0.000524
3533.430550 -0.089817 0.000519
3533.432865 -0.105730 0.000515
3533.435180 -0.117975 0.000511
3533.437495 -0.129374 0.000508
3533.439810 -0.134654 0.000507
3533.442125 -0.139092 0.000506
3533.444440 -0.139650 0.000506
3533.446754 -0.138724 0.000506
3533.449069 -0.136364 0.000507
3533.451384 -0.136253 0.000507
3533.453699 -0.136034 0.000507
3533.456014 -0.140195 0.000505
3533.458329 -0.143379 0.000505
3533.460644 -0.150058 0.000503
3533.462959 -0.155002 0.000502
3533.465274 -0.158639 0.000501
3533.467588 -0.161643 0.000500
3533.469903 -0.162321 0.000500
3533.472218 -0.163049 0.000499
3533.474533 -0.161848 0.000500
3533.476848 -0.159277 0.000501
3533.479163 -0.158015 0.000501
3533.481478 -0.154443 0.000502
3533.483793 -0.151830 0.000502
3533.486108 -0.147058 0.000504
3533.488423 -0.142684 0.000505
3533.490737 -0.138602 0.000506
3533.493052 -0.133659 0.000507
3533.495367 -0.128626 0.000509
3533.497682 -0.123405 0.000510
3533.499997 -0.117230 0.000512
3533.502312 -0.112108 0.000513
3533.504627 -0.107298 0.000514
3533.506942 -0.101040 0.000516
3533.509257 -0.095205 0.000518
3533.511571 -0.089060 0.000519
3533.513886 -0.084042 0.000521
3533.516201 -0.078183 0.000522
3533.518516 -0.072762 0.000524
3533.520831 -0.065452 0.000526
3533.523146 -0.060108 0.000528
3533.525461 -0.054319 0.000529
3533.527776 -0.048556 0.000531
3533.530091 -0.042476 0.000532
3533.532405 -0.037080 0.000534
3533.534720 -0.030800 0.000536
3533.537035 -0.023764 0.000538
3533.539350 -0.018274 0.000539
3533.541665 -0.011909 0.000541
3533.543980 -0.006455 0.000543
3533.546295 0.000453 0.000545
3533.548610 0.007111 0.000547
3533.550925 0.012787 0.000548
3533.553240 0.019697 0.000550
3533.555554 0.026196 0.000552
3533.557869 0.032553 0.000554
3533.560184 0.040091 0.000557
3533.562499 0.046811 0.000559
3533.564814 0.053679 0.000561
3533.567129 0.060546 0.000563
3533.569444 0.066953 0.000565
3533.571759 0.073962 0.000567
3533.574074 0.081601 0.000569
3533.576388 0.087321 0.000571
3533.578703 0.095988 0.000574
3533.581018 0.101527 0.000575
3533.583333 0.108311 0.000577
3533.585648 0.115165 0.000580
3533.587963 0.120338 0.000581
3533.590278 0.126175 0.000583
3533.592593 0.131600 0.000585
3533.594908 0.135834 0.000586
3533.597222 0.141691 0.000588
3533.599537 0.145795 0.000589
3533.601852 0.149435 0.000590
3533.604167 0.153040 0.000592
3533.606482 0.156035 0.000593
3533.608797 0.158189 0.000593
3533.611112 0.159865 0.000594
3533.613427 0.162125 0.000595
3533.615742 0.163753 0.000595
3533.618057 0.164471 0.000595
3533.620371 0.163298 0.000595
3533.622686 0.164450 0.000596
3533.625001 0.161819 0.000595
3533.627316 0.162304 0.000595
3533.629631 0.160742 0.000594
3533.631946 0.159585 0.000594
3533.634261 0.157381 0.000593
3533.636576 0.155068 0.000592
3533.638891 0.151255 0.000591
3533.641205 0.148407 0.000590
3533.643520 0.143716 0.000589
3533.645835 0.138920 0.000587
3533.648150 0.136316 0.000586
3533.650465 0.130014 0.000584
3533.652780 0.122788 0.000582
